Iteration,Elapsed Time,Training Loss
1,4.700578927993774,0.056372588672844934
10,49.29899191856384,0.02083265837852568
20,104.53531789779663,0.018225174825229243
30,161.95758819580078,0.01685126019638165
40,242.15077590942383,0.016533522976109306
50,301.22598004341125,0.016321585648922297
60,358.6057200431824,0.01602520099875773
70,417.7238419055939,0.015591067231523962
80,485.3243911266327,0.015469823255280374
90,550.6262729167938,0.015339561943879188
100,610.1177451610565,0.01527423877819589
110,669.2192730903625,0.015442432593765331
120,730.6850230693817,0.014902515832664527
130,800.0071368217468,0.01491699535026092
140,862.980043888092,0.014878408408277364
150,923.3868539333344,0.014734313784410013
160,984.1674520969391,0.014889606058863775
170,1044.9773988723755,0.014593236543276709
180,1119.948322057724,0.014782257038009984
190,1207.597697019577,0.01507665440712225
200,1271.2557590007782,0.014486244614336456
210,1332.1888749599457,0.014570569507794888
220,1433.6926748752594,0.015505673995612049
230,1574.2352411746979,0.014699526092077735
240,1671.973953962326,0.014389388475787785
250,1761.3769068717957,0.014939287580590859
260,1836.1583561897278,0.014674067605696166
270,1911.0421831607819,0.014850334752889013
280,1998.0957069396973,0.01471710897317188
290,2084.0377221107483,0.014086940063108292
300,2195.45952296257,0.01477162441344227
310,2330.0442259311676,0.014402872992299537
320,2450.199818134308,0.014491805188205552
330,2569.340798139572,0.014209704175678642
340,2702.834510087967,0.014908754041935895
350,2816.4004530906677,0.014036252267243593
360,2955.6765611171722,0.01405794186350379
370,3068.901687860489,0.013918388095481122
380,3192.136250972748,0.01505201776220391
390,3324.935972929001,0.014223070551422468
400,3440.549813270569,0.014531362683396332
410,3581.7934350967407,0.013750062773531123
420,3698.9261910915375,0.013966568422517735
430,3834.3032219409943,0.01396686030262711
440,3960.974905014038,0.01425518659379631
450,4088.883047103882,0.015181524100261457
460,4225.491853952408,0.014585349892089795
470,4347.775563955307,0.014239315687768832
480,4492.3200070858,0.014988806419076302
490,4610.412347078323,0.014024429550868361
500,4754.823405981064,0.013968034392712506
